weather,date
0.35,2017-12-05 00:00:00
0.3,2017-12-06 00:00:00
0.49,2017-12-07 00:00:00
0.71,2017-12-08 00:00:00
0.95,2017-12-09 00:00:00
0,2017-12-10 00:00:00
0,2017-12-11 00:00:00
0.03,2017-12-12 00:00:00
