weather,date
0.24,2017-12-07 00:00:00
0.33,2017-12-08 00:00:00
0.89,2017-12-09 00:00:00
0.05,2017-12-10 00:00:00
0.03,2017-12-11 00:00:00
0.04,2017-12-12 00:00:00
0,2017-12-13 00:00:00
0,2017-12-14 00:00:00
