weather,date
0.34,2017-12-05 00:00:00
0.11,2017-12-06 00:00:00
0.09,2017-12-07 00:00:00
0.6,2017-12-08 00:00:00
0.93,2017-12-09 00:00:00
0,2017-12-10 00:00:00
0,2017-12-11 00:00:00
0.03,2017-12-12 00:00:00
